date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:31:48	247/247	---M--	200	added ('OK')	text/plain	etag:%2265f594e4-f7%22	https://scanapp.org/robots.txt		(from )
00:31:48	417838/417838	---M-Z	200	added ('OK')	text/html	etag:W/%2265f594e4-6602e%22	https://scanapp.org/	C:/Mes%20Sites%20Web/qr1/scanapp.org/index.html	(from )
00:31:48	18989/18989	---M--	200	added ('OK')	image/jpeg	etag:%2265f594e4-4a2d%22	https://scanapp.org/assets/svg/log_sq-144.jpg	C:/Mes%20Sites%20Web/qr1/scanapp.org/assets/svg/log_sq-144.jpg	(from https://scanapp.org/)
00:31:49	151636/151636	---M--	200	added ('OK')	image/png	etag:%2265f594e4-25054%22	https://scanapp.org/assets/svg/scanapp-logo.png	C:/Mes%20Sites%20Web/qr1/scanapp.org/assets/svg/scanapp-logo.png	(from https://scanapp.org/)
00:31:49	586/586	---M-Z	200	added ('OK')	application/json	etag:W/%2265f594e4-24a%22	https://scanapp.org/assets/manifest.json	C:/Mes%20Sites%20Web/qr1/scanapp.org/assets/manifest.json	(from https://scanapp.org/)
00:31:49	19490/19490	---M-Z	200	added ('OK')	text/css	etag:W/%2265f594e4-4c22%22	https://scanapp.org/assets/main.css	C:/Mes%20Sites%20Web/qr1/scanapp.org/assets/main.css	(from https://scanapp.org/)
00:31:50	12230/12230	---M-Z	200	added ('OK')	text/css	etag:W/%2265f594e4-2fc6%22	https://scanapp.org/assets/app.v2.6.0.css	C:/Mes%20Sites%20Web/qr1/scanapp.org/assets/app.v2.6.0.css	(from https://scanapp.org/)
00:31:50	2878/2878	---MCZ	200	added ('OK')	text/css	etag:W/%2290b573e0bb911dec3d2115f7ecafbe61%22	https://scanapp.pages.dev/css/index.v2.5.1.css	C:/Mes%20Sites%20Web/qr1/scanapp.pages.dev/css/index.v2.5.1.css	(from https://scanapp.org/)
00:31:50	2629/2629	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2265f594e4-a45%22	https://scanapp.org/assets/svg/scanapp.svg	C:/Mes%20Sites%20Web/qr1/scanapp.org/assets/svg/scanapp.svg	(from https://scanapp.org/)
00:31:51	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2001%20Apr%202024%2023:31:51%20GMT	https://scanapp.org/blog	C:/Mes%20Sites%20Web/qr1/scanapp.org/blog	(from https://scanapp.org/)
00:31:51	14653/14653	---M-Z	200	added ('OK')	text/html	etag:W/%2265f594e4-393d%22	https://scanapp.org/blog/	C:/Mes%20Sites%20Web/qr1/scanapp.org/blog/index.html	(from https://scanapp.org/)
00:31:51	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2001%20Apr%202024%2023:31:51%20GMT	https://scanapp.org/support	C:/Mes%20Sites%20Web/qr1/scanapp.org/support	(from https://scanapp.org/)
